name,nationality,age,height,pos_gral,position,preferred_foot,weak_foot,att_work_rate,def_work_rate,overall,potential,crossing,finishing,heading,short_passing,volleys,marking,standing_tackle,sliding_tackle,acceleration,sprint,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,dribbling,curve,fk_acc,long_passing,ball_control,aggression,interceptions,positioning,vision,penalties,composure,diving,handling,kicking_gk,positioning_gk,reflexes,speed_gk,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,ldm,cdm,rdm,lwb,rwb,lb,lcb,cb,rcb,rb,gk
G. Espinoza,Mexico,27,168,def,CB,0,3,0.5,1.0,71,72,40,58,69,66,46,75,74,72,65,64,58,68,60,52,66,77,75,56,50,40,39,60,63,74,69,60,61,50,60.0,12,15,8,15,10,,63,63,63,58,60,60,60,58,63,63,63,62,65,65,65,62,71,71,71,67,67,69,72,72,72,69,21
N. Antonio,Mexico,26,174,med,CDM,1,3,0.5,0.5,71,75,59,48,51,68,42,72,68,66,79,76,73,70,56,76,58,74,77,69,61,71,55,70,69,71,76,61,63,50,68.0,9,16,16,10,10,,65,65,65,65,65,65,65,65,68,68,68,68,69,69,69,68,72,72,72,71,71,71,71,71,71,71,20
Zhao Lina,China PR,30,188,arq,GK,1,2,0.5,0.5,71,71,14,17,13,30,12,12,18,20,42,47,32,70,69,50,67,42,47,19,21,13,15,24,25,22,12,15,67,23,59.0,71,68,66,69,71,44.0,32,32,32,30,33,33,33,30,36,36,36,34,36,36,36,34,30,30,30,30,30,29,27,27,27,29,71
S. Hansen,Norway,26,171,def,RB,1,3,0.5,0.5,71,72,73,63,74,72,61,69,70,70,63,73,58,70,72,62,73,63,63,60,65,58,35,53,70,32,67,68,53,62,63.0,7,11,8,9,15,,69,69,69,67,66,66,66,67,67,67,67,68,66,66,66,68,67,67,67,71,71,71,69,69,69,71,19
C. Bott,New Zealand,27,165,def,LB,1,3,0.5,0.5,71,71,75,55,66,67,24,72,70,69,55,63,59,71,72,60,71,76,75,68,64,60,59,48,66,48,70,48,61,49,63.0,14,10,9,14,9,,62,62,62,63,61,61,61,63,64,64,64,65,65,65,65,65,68,68,68,71,71,71,70,70,70,71,20
T. Hansen,Norway,24,165,def,CB,1,2,0.5,1.0,71,77,30,25,67,52,31,77,79,81,72,75,67,67,66,35,71,65,61,24,57,31,29,31,55,59,74,29,32,36,72.0,13,12,7,10,11,,49,49,49,48,47,47,47,48,49,49,49,52,51,51,51,52,64,64,64,66,66,69,73,73,73,69,19
R. Bernal,Mexico,24,170,def,CB,1,4,0.5,1.0,71,74,68,32,68,68,40,72,76,72,77,72,72,69,87,55,75,66,67,59,63,59,69,67,65,65,73,44,45,46,63.0,13,16,8,7,9,,58,58,58,60,58,58,58,60,61,61,61,64,64,64,64,64,71,71,71,72,72,73,73,73,73,73,19
C. Ferral,Mexico,29,165,med,CDM,1,3,0.5,1.0,71,71,66,63,68,73,67,70,71,68,73,72,71,61,90,73,85,80,59,65,67,72,70,72,69,74,70,66,64,72,66.0,7,9,16,11,11,,69,69,69,67,67,67,67,67,70,70,70,70,71,71,71,70,71,71,71,71,71,71,71,71,71,71,17
Xu Huan,China PR,23,180,arq,GK,1,2,0.5,0.5,71,80,25,18,16,34,11,15,21,16,50,57,49,65,65,55,69,44,66,18,23,25,36,44,38,38,20,12,62,24,44.0,74,69,73,68,72,53.0,35,35,35,35,35,35,35,35,40,40,40,39,40,40,40,39,37,37,37,34,34,33,32,32,32,33,72
A. Godínez,Mexico,28,170,arq,GK,1,3,0.5,0.5,71,72,16,9,12,19,11,24,12,13,32,33,31,52,43,53,73,26,38,7,13,12,12,20,15,28,10,9,41,13,51.0,73,71,70,75,71,32.0,24,24,24,21,22,22,22,21,24,24,24,24,24,24,24,24,24,24,24,23,23,23,24,24,24,23,72
C. Arthur,Scotland,27,169,med,CM,1,3,0.5,0.5,71,72,47,65,64,75,48,69,73,71,62,68,55,76,80,73,71,66,55,62,69,33,40,68,75,62,54,68,73,52,55.0,10,8,5,8,6,,70,70,70,67,70,70,70,67,72,72,72,70,72,72,72,70,70,70,70,68,68,68,68,68,68,68,17
L. Graham,Scotland,25,165,med,CM,1,3,0.5,0.5,71,74,52,71,50,72,59,41,74,68,56,48,71,70,78,75,72,69,71,64,73,36,43,68,72,49,72,70,71,50,62.0,6,11,11,8,6,,69,69,69,67,69,69,69,67,72,72,72,69,73,73,73,69,69,69,69,67,67,66,65,65,65,66,17
A. Harrison,Scotland,24,170,del,ST,1,3,0.5,0.5,71,75,74,80,65,59,69,16,24,21,76,75,71,68,69,71,70,68,69,70,70,64,68,42,72,28,18,67,63,75,65.0,9,7,15,6,14,,73,73,73,71,70,70,70,71,69,69,69,70,61,61,61,70,45,45,45,53,53,49,41,41,41,49,18
D. García,Mexico,22,167,med,RM,1,3,0.5,0.5,71,80,65,69,40,70,51,29,55,52,72,68,58,67,84,52,48,63,31,52,72,63,66,67,74,34,44,68,72,57,58.0,13,11,8,5,8,,64,64,64,69,68,68,68,69,71,71,71,72,69,69,69,72,58,58,58,62,62,59,48,48,48,59,18
E. Van Kerkhoven,Belgium,28,170,del,ST,1,3,0.5,0.5,71,71,47,75,68,68,69,18,27,19,74,72,66,70,72,68,73,66,63,71,71,49,63,49,69,33,23,72,57,64,67.0,8,6,14,6,11,,71,71,71,68,70,70,70,68,70,70,70,68,63,63,63,68,48,48,48,51,51,48,43,43,43,48,17
Joana Marchão,Portugal,25,161,def,LB,0,3,0.5,0.5,71,74,72,35,64,68,22,68,73,72,73,75,62,65,78,62,65,71,67,60,58,64,68,49,60,47,68,50,44,47,52.0,8,11,14,13,12,,58,58,58,59,57,57,57,59,59,59,59,63,61,61,61,63,66,66,66,71,71,71,69,69,69,71,19
Catarina Amado,Portugal,22,165,def,RB,1,3,1.0,0.5,71,79,70,60,58,71,39,61,68,71,73,72,63,65,75,62,57,82,53,57,65,49,44,68,69,44,62,59,48,48,55.0,9,12,13,10,10,,64,64,64,65,64,64,64,65,65,65,65,69,67,67,67,69,67,67,67,71,71,71,64,64,64,71,18
K. Casparij,Netherlands,21,169,def,RB,1,4,0.5,0.5,71,82,71,63,59,73,48,65,70,69,76,76,74,67,68,57,53,67,58,60,67,49,47,64,70,60,67,57,62,47,61.0,9,13,10,12,6,,66,66,66,68,66,66,66,68,69,69,69,70,69,69,69,70,69,69,69,72,72,71,67,67,67,71,18
L. Ribadeira,France,17,165,del,ST,1,3,0.5,0.5,71,85,55,71,67,70,65,37,29,25,78,77,75,65,72,68,66,58,70,69,74,66,59,59,77,46,23,70,60,63,59.0,8,13,5,7,15,,73,73,73,71,71,71,71,71,72,72,72,71,65,65,65,71,52,52,52,54,54,51,48,48,48,51,18
D. Lambourne,England,26,175,arq,GK,1,3,0.5,0.5,71,75,10,7,13,33,8,14,14,17,36,34,33,71,47,53,57,25,70,15,12,14,17,35,12,34,9,6,55,22,42.0,69,72,71,69,69,35.0,27,27,27,23,26,26,26,23,30,30,30,27,31,31,31,27,30,30,30,25,25,25,28,28,28,25,72
C. Boye-Hlorkah,England,26,169,med,CAM,1,3,0.5,0.5,71,72,69,68,60,68,59,32,34,32,73,74,76,69,69,63,71,55,62,67,72,63,47,63,72,50,47,77,69,59,62.0,9,9,13,9,12,,71,71,71,71,71,71,71,71,72,72,72,72,67,67,67,72,56,56,56,58,58,56,51,51,51,56,18
L. Blindkilde Brown,England,18,162,med,CM,1,3,0.5,0.5,71,85,51,48,49,79,50,58,57,57,70,75,72,70,79,59,55,68,46,53,68,52,51,78,72,51,56,70,73,60,56.0,9,6,7,6,6,,63,63,63,67,67,67,67,67,72,72,72,71,73,73,73,71,67,67,67,66,66,65,59,59,59,65,16
N. Sørensen,Denmark,24,179,del,ST,1,3,0.5,0.0,71,76,55,65,75,73,66,33,37,29,69,69,66,70,49,69,56,55,74,66,76,54,51,53,76,56,36,75,59,55,68.0,5,11,6,15,11,,73,73,73,70,71,71,71,70,72,72,72,70,66,66,66,70,55,55,55,56,56,54,53,53,53,54,19
G. Bergsvand,Norway,28,175,def,CB,1,2,0.0,1.0,71,73,28,25,68,51,21,76,78,74,76,80,58,69,63,39,75,67,68,23,42,32,25,33,50,70,72,25,29,30,55.0,10,9,8,15,13,,48,48,48,45,45,45,45,45,46,46,46,49,49,49,49,49,64,64,64,65,65,68,73,73,73,68,20
L. Multari,France,26,169,def,CB,1,2,0.0,1.0,71,74,32,29,69,69,35,71,76,72,55,68,53,66,66,44,74,51,68,25,51,42,36,54,58,79,66,38,41,35,57.0,11,11,8,11,5,,52,52,52,49,50,50,50,49,53,53,53,53,57,57,57,53,67,67,67,63,63,65,73,73,73,65,18
D. Caldwell,Republic of Ireland,33,173,def,CB,1,3,0.0,0.5,71,71,53,50,65,73,67,80,68,64,34,32,56,75,64,60,67,50,74,44,54,59,48,70,67,75,78,45,48,55,74.0,12,7,12,13,11,,59,59,59,54,55,55,55,54,59,59,59,58,65,65,65,58,71,71,71,65,65,65,71,71,71,65,20
L. Robe,England,28,167,def,CB,1,3,0.5,0.5,71,71,60,58,65,68,43,76,75,70,61,55,59,72,68,58,60,76,74,46,56,60,60,67,64,72,67,38,59,55,66.0,12,8,5,7,8,,60,60,60,58,58,58,58,58,61,61,61,63,66,66,66,63,71,71,71,70,70,70,71,71,71,70,18
Y. Daniëls,Belgium,30,170,del,ST,1,3,0.5,0.0,71,71,59,69,65,69,69,30,32,29,75,68,68,71,75,75,64,53,44,70,76,61,50,45,75,58,28,78,49,55,65.0,9,14,14,7,12,,71,71,71,70,71,71,71,70,70,70,70,70,62,62,62,70,50,50,50,54,54,52,46,46,46,52,19
E. Brugts,Netherlands,18,165,del,LW,0,3,0.5,0.5,71,90,70,65,35,71,61,23,27,28,77,78,81,63,78,57,48,62,45,58,77,69,53,67,76,29,24,65,59,57,60.0,6,13,9,6,13,,65,65,65,71,68,68,68,71,71,71,71,72,65,65,65,72,50,50,50,55,55,51,39,39,39,51,17
Amanda Gutierres,Brazil,21,175,del,ST,1,4,0.5,0.5,71,81,47,70,79,67,62,36,34,31,57,66,59,66,41,73,87,65,91,67,68,57,59,57,72,44,20,73,67,67,65.0,12,6,7,5,9,,73,73,73,66,69,69,69,66,69,69,69,67,65,65,65,67,53,53,53,52,52,50,52,52,52,50,16
J. Karličić,Montenegro,19,170,med,RM,1,3,0.5,0.0,71,82,61,66,49,72,64,37,38,30,82,79,80,69,73,71,60,68,48,68,72,70,67,68,74,70,26,64,65,69,71.0,7,9,11,8,7,,69,69,69,71,70,70,70,71,72,72,72,72,68,68,68,72,56,56,56,58,58,55,48,48,48,55,17
Suzane Pires,Portugal,29,168,del,LW,0,2,0.5,0.5,71,71,74,67,44,73,55,25,47,38,65,67,75,69,82,67,49,65,44,64,73,79,70,69,74,52,34,69,72,67,70.0,8,8,8,6,6,,67,67,67,71,70,70,70,71,71,71,71,71,70,70,70,71,57,57,57,59,59,56,47,47,47,56,16
S. Champagnac,France,23,166,med,CDM,1,3,0.5,0.5,71,78,48,48,52,73,49,68,73,70,54,48,56,70,68,66,57,71,61,58,63,58,65,68,68,72,73,58,61,67,68.0,6,15,14,8,14,,61,61,61,60,61,61,61,60,65,65,65,63,69,69,69,63,72,72,72,68,68,68,69,69,69,68,19
M. Heil,France,25,173,arq,GK,1,2,0.5,0.5,71,75,15,9,11,23,9,11,15,10,33,38,34,66,43,52,57,32,60,9,12,14,14,26,16,19,14,7,35,14,31.0,68,69,69,71,76,35.0,26,26,26,22,24,24,24,22,25,25,25,26,27,27,27,26,26,26,26,25,25,24,25,25,25,24,72
O. Arsenieva,Russia,24,168,arq,GK,1,2,0.5,0.5,71,77,15,11,12,27,8,15,17,12,33,38,40,64,47,50,58,33,67,8,12,13,14,24,15,28,12,8,42,12,37.0,69,68,67,72,75,35.0,27,27,27,23,24,24,24,23,27,27,27,26,28,28,28,26,28,28,28,25,25,25,27,27,27,25,72
M. Roth,France,20,174,med,CAM,1,3,0.5,0.5,71,82,62,73,59,68,68,39,41,38,68,72,72,65,75,69,59,71,59,70,72,67,57,59,75,41,38,74,66,55,69.0,9,11,8,6,12,,71,71,71,70,71,71,71,70,72,72,72,71,67,67,67,71,56,56,56,59,59,57,51,51,51,57,18
M. Doucet,France,26,176,def,CB,1,3,0.5,0.5,71,74,45,56,78,77,40,69,70,66,52,63,34,68,51,63,72,68,78,43,57,58,62,79,68,67,69,59,57,60,70.0,10,10,10,16,13,,65,65,65,59,62,62,62,59,64,64,64,64,69,69,69,64,73,73,73,67,67,68,73,73,73,68,20
A. Lemonnier,France,22,164,med,CAM,1,4,0.5,0.5,71,78,45,65,57,68,62,42,32,21,79,78,79,76,72,63,69,68,67,64,67,60,60,59,71,66,57,72,76,70,74.0,8,9,9,12,13,,70,70,70,69,70,70,70,69,73,73,73,70,69,69,69,70,60,60,60,58,58,56,54,54,54,56,20
C. N'Gazi,Algeria,26,180,arq,GK,1,2,0.5,0.5,71,75,12,8,14,28,10,11,15,13,38,44,35,66,42,50,66,29,43,8,17,18,14,24,15,32,14,9,42,17,42.0,72,70,66,66,74,40.0,27,27,27,24,26,26,26,24,28,28,28,27,28,28,28,27,27,27,27,26,26,25,25,25,25,25,72
I. Atkinson,Republic of Ireland,20,166,del,LW,0,3,0.5,0.5,71,83,68,66,50,72,59,36,36,30,75,75,71,69,56,61,59,55,65,64,72,65,60,68,72,56,32,70,69,62,65.0,10,5,14,6,13,,69,69,69,71,70,70,70,71,72,72,72,72,67,67,67,72,56,56,56,57,57,54,49,49,49,54,17
E. Kouache,France,22,163,def,RB,1,3,1.0,0.5,71,79,63,47,60,67,34,63,66,70,82,77,68,59,74,57,58,88,48,42,59,57,38,55,64,51,67,52,52,40,55.0,12,5,11,8,12,,59,59,59,61,59,59,59,61,61,61,61,65,63,63,63,65,66,66,66,71,71,71,64,64,64,71,17
L. Rueda,France,22,160,med,CAM,1,3,0.5,0.0,71,77,63,63,41,72,56,37,49,41,77,71,78,59,75,61,48,61,43,65,77,66,65,69,75,63,43,66,71,70,70.0,6,13,9,14,12,,65,65,65,70,69,69,69,70,73,73,73,72,69,69,69,72,59,59,59,60,60,57,50,50,50,57,18
C. Wellings,England,24,165,del,ST,1,3,0.5,0.5,71,76,48,73,70,68,67,28,26,24,64,66,58,70,55,67,56,63,64,66,70,52,58,46,74,54,21,77,57,59,61.0,14,6,7,13,11,,73,73,73,67,70,70,70,67,69,69,69,68,63,63,63,68,50,50,50,51,51,49,46,46,46,49,19
O. Fulutudilu,South Africa,32,165,del,ST,1,3,0.5,0.0,71,71,56,72,66,69,67,23,27,29,73,68,66,69,74,69,61,58,77,70,67,49,54,48,73,26,27,75,49,64,66.0,12,11,15,11,11,,71,71,71,68,69,69,69,68,69,69,69,68,62,62,62,68,49,49,49,53,53,50,45,45,45,50,20
Song Duan,China PR,26,168,med,CM,1,2,0.5,1.0,70,71,38,76,61,72,42,72,73,60,70,73,56,68,74,60,70,74,57,70,71,49,54,70,75,60,66,64,65,61,54.0,8,10,16,15,12,,70,70,70,68,70,70,70,68,71,71,71,70,71,71,71,70,71,71,71,68,68,68,69,69,69,68,20
Y. Franco,Mexico,29,162,med,CAM,1,2,1.0,0.5,70,70,66,67,73,74,43,64,65,62,71,70,77,69,79,58,80,75,60,62,73,43,45,72,70,68,64,67,70,59,63.0,17,15,14,9,9,,69,69,69,70,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,68,68,68,70,21
Gao Chen,China PR,29,170,def,CB,1,3,0.5,0.5,70,70,48,50,69,65,44,68,75,72,78,75,69,62,66,56,68,73,76,53,55,45,49,60,64,70,67,52,49,53,54.0,15,16,25,18,12,,62,62,62,59,59,59,59,59,61,61,61,62,63,63,63,62,69,69,69,68,68,70,70,70,70,70,23
A. Mikalsen,Norway,26,175,arq,GK,0,1,0.5,0.5,70,74,13,11,13,24,12,13,13,13,38,35,39,65,46,50,62,31,44,12,12,17,13,26,18,21,13,10,53,17,41.0,71,68,67,68,71,37.0,27,27,27,24,26,26,26,24,29,29,29,27,29,29,29,27,26,26,26,25,25,25,24,24,24,25,71
G. Chávez,Argentina,33,162,med,CDM,1,3,0.5,1.0,70,70,45,21,52,72,18,77,72,70,56,59,51,68,76,45,52,44,55,23,42,25,40,69,67,70,75,28,55,42,51.0,10,10,13,12,12,,47,47,47,49,49,49,49,49,55,55,55,55,61,61,61,55,70,70,70,65,65,67,70,70,70,67,19
G. Pettersen,Norway,30,175,arq,GK,1,2,0.5,0.5,70,70,13,14,15,28,9,16,18,17,37,43,45,68,52,56,63,32,36,25,13,17,14,26,17,22,17,11,40,17,35.0,70,67,75,67,71,39.0,29,29,29,25,27,27,27,25,29,29,29,28,30,30,30,28,28,28,28,27,27,27,26,26,26,27,70
A. Tysiak,Belgium,22,177,def,CB,1,3,0.0,0.5,70,78,29,30,69,64,29,65,79,74,66,71,63,72,77,39,70,66,72,28,51,25,26,45,63,67,67,23,33,37,52.0,11,6,11,15,11,,51,51,51,49,49,49,49,49,52,52,52,53,56,56,56,53,67,67,67,65,65,68,72,72,72,68,20
C. Tison,Belgium,24,165,def,CB,1,3,0.5,0.5,70,76,32,37,69,71,21,68,74,72,74,74,72,72,82,48,75,75,63,34,44,24,29,67,66,75,70,26,39,38,68.0,13,5,10,13,6,,54,54,54,52,52,52,52,52,56,56,56,57,61,61,61,57,71,71,71,68,68,70,72,72,72,70,18
F. Delacauw,Belgium,20,173,med,CDM,1,4,0.5,1.0,70,80,54,58,40,70,40,60,72,65,72,63,70,63,69,59,70,73,61,68,64,59,62,70,71,71,70,62,69,44,59.0,9,10,13,13,7,,62,62,62,65,65,65,65,65,69,69,69,68,71,71,71,68,71,71,71,68,68,67,66,66,66,67,18
Andreia Faria,Portugal,22,164,med,CM,1,3,0.5,0.5,70,80,52,63,58,75,42,50,69,56,66,68,57,74,80,62,52,59,58,60,68,57,46,72,70,55,68,65,70,49,58.0,14,12,15,12,12,,67,67,67,66,68,68,68,66,71,71,71,69,72,72,72,69,68,68,68,66,66,65,64,64,64,65,21
Telma Encarnação,Portugal,20,169,del,ST,1,3,0.5,0.5,70,79,61,70,75,72,66,22,23,20,70,72,59,72,71,68,68,62,69,69,65,57,50,52,66,42,21,73,50,72,52.0,6,12,7,8,8,,72,72,72,67,68,68,68,67,68,68,68,68,62,62,62,68,48,48,48,52,52,49,44,44,44,49,17
Alícia Correia,Portugal,19,159,def,LB,0,3,0.5,0.5,70,82,68,42,59,60,25,63,73,66,75,77,74,66,81,41,62,68,60,40,58,62,32,42,60,47,71,55,42,42,50.0,13,7,11,9,15,,57,57,57,59,56,56,56,59,58,58,58,62,58,58,58,62,63,63,63,69,69,70,66,66,66,70,19
Kika Nazareth,Portugal,19,168,del,ST,1,3,0.5,0.5,70,83,62,70,68,59,62,23,23,20,78,79,68,74,74,69,77,72,70,67,67,59,55,47,69,25,21,74,67,74,70.0,5,8,10,9,11,,72,72,72,69,70,70,70,69,69,69,69,70,62,62,62,70,47,47,47,53,53,50,43,43,43,50,18
Rute Costa,Portugal,28,170,arq,GK,1,3,0.5,0.5,70,73,12,9,15,23,9,10,13,12,33,28,30,70,44,50,58,25,41,9,10,11,14,26,17,29,11,10,32,11,31.0,69,74,66,63,72,31.0,26,26,26,21,23,23,23,21,25,25,25,24,26,26,26,24,25,25,25,23,23,23,24,24,24,23,71
K. Rodríguez,Mexico,23,166,def,CB,1,3,0.5,1.0,70,77,30,30,69,57,17,72,77,72,70,72,55,56,69,62,81,67,72,37,32,42,46,53,62,71,68,26,21,53,59.0,9,11,14,5,9,,51,51,51,45,45,45,45,45,46,46,46,49,52,52,52,49,66,66,66,63,63,67,72,72,72,67,16
J. Montoya,Mexico,21,158,med,RM,1,3,1.0,0.0,70,79,68,63,27,72,58,26,37,34,79,81,81,56,78,66,52,77,40,60,73,71,71,67,71,29,35,59,55,64,54.0,14,10,7,6,7,,63,63,63,68,66,66,66,68,69,69,69,71,65,65,65,71,53,53,53,59,59,55,41,41,41,55,16
C. Wheeler,Australia,24,162,med,CDM,1,3,0.5,0.5,70,77,62,63,46,69,62,76,67,66,67,69,58,67,59,60,59,69,60,62,60,45,45,70,66,76,66,48,70,43,56.0,10,12,7,6,5,,62,62,62,63,63,63,63,63,66,66,66,66,68,68,68,66,71,71,71,69,69,69,68,68,68,69,17
A. Jóhannsdóttir,Iceland,22,167,med,CM,1,3,0.5,0.5,70,80,53,66,66,76,59,69,62,64,72,73,69,71,65,64,64,69,62,65,72,55,56,70,75,60,61,58,66,63,55.0,7,7,8,12,7,,69,69,69,68,69,69,69,68,72,72,72,71,72,72,72,71,70,70,70,69,69,69,67,67,67,69,17
T. Eninger,France,20,158,med,CAM,1,3,0.5,0.5,70,81,69,69,47,74,62,47,58,51,68,65,77,59,84,66,48,59,38,67,72,67,70,71,75,57,56,69,66,71,67.0,11,11,9,12,13,,67,67,67,70,69,69,69,70,72,72,72,71,70,70,70,71,63,63,63,64,64,62,56,56,56,62,19
L. Robertson,Scotland,30,155,med,CM,0,3,0.5,0.5,70,70,55,55,61,73,32,49,68,59,66,68,64,69,74,60,71,71,75,63,69,46,64,69,70,69,69,69,71,50,58.0,9,9,14,7,14,,66,66,66,66,67,67,67,66,70,70,70,69,70,70,70,69,70,70,70,67,67,67,67,67,67,67,18
M. Pike,England,21,175,med,CM,1,3,0.5,0.5,70,83,60,57,60,69,59,69,67,61,73,67,68,70,52,50,80,85,70,59,72,61,51,61,70,60,67,69,77,51,58.0,12,10,14,13,14,,66,66,66,68,68,68,68,68,71,71,71,71,72,72,72,71,70,70,70,71,71,70,69,69,69,70,21
M. Symonds,England,19,173,med,CM,1,3,0.5,0.5,70,86,54,63,49,75,60,58,69,65,66,63,68,68,73,71,63,55,71,64,71,59,69,77,72,49,65,69,69,50,61.0,12,14,15,10,11,,68,68,68,67,69,69,69,67,72,72,72,70,72,72,72,70,69,69,69,66,66,66,65,65,65,66,20
M. Filis,England,19,174,med,CAM,1,3,0.5,0.0,70,86,51,71,45,74,60,31,43,41,67,66,41,70,73,74,31,66,77,71,68,45,60,70,70,50,47,74,72,69,75.0,13,10,10,9,9,,71,71,71,68,70,70,70,68,72,72,72,70,70,70,70,70,60,60,60,58,58,56,52,52,52,56,19
F. Gregory,England,19,169,med,LM,0,3,0.5,0.5,70,84,73,68,49,62,57,53,32,30,75,72,71,70,68,65,55,69,65,50,77,67,50,59,61,49,56,66,69,58,58.0,14,9,12,15,5,,67,67,67,68,67,67,67,68,68,68,68,71,65,65,65,71,57,57,57,61,61,58,52,52,52,58,19
Wang Yanwen,China PR,23,167,med,RM,1,3,1.0,0.5,70,79,71,67,64,70,55,20,38,36,74,72,53,70,68,65,69,58,68,52,66,49,50,66,71,26,21,70,69,68,53.0,9,12,13,12,10,,70,70,70,68,68,68,68,68,70,70,70,71,66,66,66,71,52,52,52,55,55,53,46,46,46,53,19
L. Notel,France,17,165,def,LB,0,2,1.0,0.5,70,82,69,48,59,70,45,66,68,71,61,65,61,65,76,49,56,69,61,46,63,58,45,57,68,66,69,54,57,47,60.0,10,6,9,14,9,,59,59,59,62,60,60,60,62,63,63,63,65,65,65,65,65,68,68,68,70,70,70,68,68,68,70,18
E. Saint Georges,France,22,177,def,CB,1,3,0.0,0.5,70,76,46,30,72,67,34,71,74,70,63,68,51,65,50,55,80,51,73,28,57,41,31,59,61,66,69,32,47,38,60.0,13,10,12,14,15,,54,54,54,52,52,52,52,52,55,55,55,57,59,59,59,57,68,68,68,65,65,67,72,72,72,67,21
C. Bornes,France,28,156,def,LWB,1,4,0.5,0.5,70,70,58,41,54,68,40,69,72,68,62,67,64,69,83,41,47,74,62,39,60,49,43,56,64,59,73,52,54,43,58.0,8,11,11,14,14,,56,56,56,59,57,57,57,59,61,61,61,63,64,64,64,63,69,69,69,70,70,70,68,68,68,70,20
L. Condon,France,25,159,med,CDM,1,3,0.0,0.5,70,74,51,45,49,69,44,69,71,68,61,63,64,68,82,51,54,74,61,42,58,48,45,63,67,76,70,53,63,51,59.0,10,14,9,15,10,,57,57,57,59,59,59,59,59,63,63,63,63,66,66,66,63,71,71,71,68,68,68,68,68,68,68,20
M. Campbell,Republic of Ireland,29,173,def,CB,0,3,0.5,0.5,70,70,66,40,63,70,41,79,71,70,50,59,56,71,61,57,65,60,69,43,55,63,65,69,63,68,69,32,58,51,67.0,13,6,6,10,8,,55,55,55,56,54,54,54,56,59,59,59,60,64,64,64,60,70,70,70,69,69,69,70,70,70,69,18
R. Leuchter,Netherlands,21,167,del,ST,1,3,0.5,0.5,70,80,41,75,67,65,68,25,19,23,72,71,64,68,68,72,64,66,65,72,71,30,57,47,70,63,21,70,61,63,60.0,14,6,10,10,8,,72,72,72,67,70,70,70,67,69,69,69,67,62,62,62,67,48,48,48,49,49,47,44,44,44,47,18
S. Gordon,United States,25,170,med,RM,1,3,0.5,0.0,70,73,62,62,48,74,50,44,39,40,79,78,78,64,65,78,82,67,79,59,68,60,51,66,73,52,36,67,65,58,62.0,11,7,9,9,9,,69,69,69,69,69,69,69,69,71,71,71,71,67,67,67,71,59,59,59,60,60,57,54,54,54,57,17
Lúcia Alves,Portugal,24,157,def,LB,1,3,1.0,0.5,70,74,72,36,53,73,28,64,63,67,79,72,72,64,88,60,59,69,53,31,66,59,41,69,69,67,68,55,44,38,66.0,7,7,14,11,12,,58,58,58,62,59,59,59,62,63,63,63,67,64,64,64,67,68,68,68,71,71,70,65,65,65,70,18
Y. Hall,Canada,24,166,def,RWB,1,3,0.5,0.5,70,75,67,41,53,70,45,67,62,68,77,71,68,69,71,56,71,67,81,39,67,67,46,58,70,58,69,57,53,49,66.0,14,12,9,6,6,,61,61,61,63,61,61,61,63,64,64,64,67,65,65,65,67,68,68,68,70,70,70,68,68,68,70,18
M. Diakité,Côte d'Ivoire,27,169,def,CB,1,3,0.0,0.5,70,72,33,37,71,63,31,71,75,72,48,67,41,66,60,86,81,53,65,55,39,41,66,47,56,77,67,35,39,53,60.0,5,9,10,12,14,,56,56,56,47,51,51,51,47,51,51,51,50,55,55,55,50,65,65,65,62,62,65,72,72,72,65,18
E. Viðarsdóttir,Iceland,31,167,def,RB,1,3,0.5,0.5,70,70,61,25,58,59,25,75,68,67,71,71,68,71,56,27,54,67,66,55,57,59,60,58,73,61,67,34,57,48,59.0,12,13,7,7,15,,51,51,51,58,54,54,54,58,60,60,60,61,62,62,62,61,68,68,68,69,69,70,69,69,69,70,20
S. Atladóttir,Iceland,36,162,def,RB,1,3,0.5,0.5,70,70,69,35,64,77,42,73,65,64,70,71,66,73,57,34,58,67,63,41,57,69,58,70,69,58,62,36,59,56,58.0,11,11,14,15,15,,55,55,55,60,57,57,57,60,63,63,63,65,66,66,66,65,70,70,70,70,70,70,68,68,68,70,22
S. Courvoisier,France,22,178,del,ST,1,3,0.5,0.5,70,77,57,72,71,63,62,17,33,27,73,69,69,74,61,70,65,62,74,69,69,59,57,59,66,38,29,68,59,60,59.0,15,13,14,13,16,,72,72,72,67,68,68,68,67,68,68,68,68,63,63,63,68,50,50,50,53,53,51,46,46,46,51,23
T. Bjelde,Norway,22,163,med,CM,0,3,0.5,1.0,70,78,61,68,39,74,48,55,61,44,77,73,81,65,88,68,53,75,39,63,75,72,44,68,74,73,73,64,67,48,66.0,8,11,10,8,8,,66,66,66,70,69,69,69,70,73,73,73,72,72,72,72,72,68,68,68,68,68,66,60,60,60,66,17
A. Jøsendal,Norway,21,170,med,LM,0,2,1.0,0.5,70,78,67,65,42,68,59,58,66,62,81,78,65,59,72,72,64,70,66,59,71,68,57,58,73,51,63,67,63,64,59.0,9,9,9,14,9,,68,68,68,69,68,68,68,69,69,69,69,71,68,68,68,71,66,66,66,69,69,68,63,63,63,68,18
